[['systime', '1448924930'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 08']]
[['systime', '1448925251'], ['temperature', '33'], ['CpuUtilization1sec', '11'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 11']]
[['systime', '1448925571'], ['temperature', '33'], ['CpuUtilization1sec', '10'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 14']]
[['systime', '1448925893'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 18']]
[['systime', '1448926213'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 21']]
[['systime', '1448926533'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 24']]
[['systime', '1448926855'], ['temperature', '33'], ['CpuUtilization1sec', '10'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 27']]
[['systime', '1448927175'], ['temperature', '33'], ['CpuUtilization1sec', '9'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 30']]
[['systime', '1448927495'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 34']]
[['systime', '1448927815'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 37']]
[['systime', '1448928135'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 40']]
[['systime', '1448928456'], ['temperature', '33'], ['CpuUtilization1sec', '9'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 43']]
[['systime', '1448928776'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 46']]
[['systime', '1448929096'], ['temperature', '33'], ['CpuUtilization1sec', '9'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 50']]
[['systime', '1448929416'], ['temperature', '33'], ['CpuUtilization1sec', '6'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 53']]
[['systime', '1448929738'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 56']]
[['systime', '1448930058'], ['temperature', '33'], ['CpuUtilization1sec', '9'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 06 59']]
[['systime', '1448930378'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 02']]
[['systime', '1448930698'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 06']]
[['systime', '1448931020'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 09']]
[['systime', '1448931340'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 12']]
[['systime', '1448931661'], ['temperature', '33'], ['CpuUtilization1sec', '9'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 15']]
[['systime', '1448931981'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 18']]
[['systime', '1448932301'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 22']]
[['systime', '1448932621'], ['temperature', '33'], ['CpuUtilization1sec', '5'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 25']]
[['systime', '1448932943'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 28']]
[['systime', '1448933263'], ['temperature', '33'], ['CpuUtilization1sec', '8'], ['FanSpeed', '1680'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 31']]
[['systime', '1448933583'], ['temperature', '33'], ['CpuUtilization1sec', '7'], ['FanSpeed', '1560'], ['Volt1', '3334'], ['Volt2', '2487'], ['Volt3', '1172'], ['Volt4', '1027'], ['localtime', 'May 05 2020 02 07 34']]
